id,Question Text,Option (a),Option (b),Option (c),Option (d)
15,Which one of the following launched the 'Nature Solutions Finance Hub for Asia and the Pacific'?,The Asian Development Bank (ADB),The Asian Infrastructure Investment Bank (AIIB),The New Development Bank (NDB),The International Bank for Reconstruction and Development (IBRD)
16,"With reference to 'Direct Air Capture', an emerging technology, which of the following statements is/are correct? I. It can be used as a way of carbon sequestration. II. It can be a valuable approach for plastic production. III. In aviation, it can be a source of carbon...",I and II only,III only,"I, II and III",None of the above statements is correct
17,"Regarding Peacock tarantula (Gooty tarantula), consider the following statements: I. It is an omnivorous crustacean. II. Its natural habitat in India is only limited to some forest areas. III. In its natural habitat, it is an arboreal species.",I only,I and III,II only,II and III
18,"Consider the following statements: 1. Carbon dioxide (CO2) emissions in India are less than 0.5 t CO2/ capita. II. In terms of CO2 emissions from fuel combustion, India ranks second in Asia-Pacific region. III. Electricity and heat producers are the largest source of CO2 emissions in India.",I and III only,II only,II and III only,"I, II and III"
19,Consider the following pairs: Plant - Description: I. Cassava: Woody shrub II. Ginger: Herb with pseudostem III. Malabar spinach: Herbaceous climber IV. Mint: Annual shrub V. Papaya: Woody shrub,Only two,Only three,Only four,All the five
20,"With reference to the planet Earth, consider the following statements: 1. Rain forests produce more oxygen than that produced by oceans. II. Marine phytoplankton and photo-synthetic bacteria produce about 50% of world's oxygen. III. Well-oxygenated surface water contains several folds higher oxygen than that in atmospheric air.",I and II,II only,I and III,None of the above statements is correct
21,Consider the following statements about Raja Ram Mohan Roy: I. He possessed great love and respect for the traditional philosophical systems of the East. II. He desired his countrymen to accept the rational and scientific approach and the principle of human dignity and social equality...,I only,II only,Both I and II,Neither I nor II
22,Consider the following subjects with regard to Non-Cooperation Programme: 1. Boycott of law-courts and foreign cloth II. Observance of strict non-violence III. Retention of titles and honours without using them in public IV. Establishment of Panchayats for settling disputes,Only one,Only two,Only three,All the four
23,The irrigation device called 'Araghatta' was:,a water bag made of leather pulled over a pulley,a large wheel with earthen pots tied to the outer ends of its spokes,a larger earthen pot driven by bullocks,a large water bucket pulled up by rope directly by hand
24,"Who among the following rulers in ancient India had assumed the titles 'Mattavilasa', 'Vichitrachitta' and 'Gunabhara'?",Mahendravarman I,Simhavishnu,Narasimhavarman I,Simhavarman
25,"Fa-hien (Faxian), the Chinese pilgrim, travelled to India during the reign of:",Samudragupta,Chandragupta II,Kumaragupta I,Skandagupta
26,"Who among the following led a successful military campaign against the kingdom of Srivijaya, the powerful maritime State, which ruled the Malay Peninsula, Sumatra, Java and the neighbouring islands?",Amoghavarsha (Rashtrakuta),Prataparudra (Kakatiya),Rajendra I (Chola),Vishnuvardhana (Hoysala)
27,"With reference to ancient India (600-322 BC), consider the following pairs: Territorial Region - River flowing in the region: I. Asmaka: Godavari II. Kamboja: Vipas III. Avanti: Mahanadi IV. Kosala: Sarayu",Only one,Only two,Only three,All the four
28,"The first Gandharva Mahavidyalaya, a music training school, was set up in 1901 by Vishnu Digambar Paluskar in:",Delhi,Gwalior,Ujjain,Lahore
29,"Ashokan inscriptions suggest that the 'Pradeshika', 'Rajuka' and 'Yukta' were important officers at the:",village-level administration,district-level administration,provincial administration,level of the central administration
30,Consider the following statements in respect of the Non-Cooperation Movement: 1. The Congress declared the attainment of 'Swaraj' by all legitimate and peaceful means to be its objective. II. It was to be implemented in stages with civil disobedience and non-payment of taxes...,I only,II only,Both I and II,Neither I nor II
31,"With reference to investments, consider the following: 1. Bonds II. Hedge Funds III. Stocks IV. Venture Capital. How many of the above are treated as Alternative Investment Funds?",Only one,Only two,Only three,All the four
32,Which of the following are the sources of income for the Reserve Bank of India? 1. Buying and selling Government bonds II. Buying and selling foreign currency III. Pension fund IV. Lending to private companies V. Printing and distributing currency notes,I and II only,"II, III and IV","I, III, IV and V","I, II and V"
33,"With reference to the Government of India, consider the following information: Organization - Functions - Works under: I. Directorate of Enforcement... II. Directorate of Revenue Intelligence... III. Directorate General of Systems and Data Management...",Only one,Only two,All the three,None
34,"Consider the following statements: 1. The Reserve Bank of India mandates all the listed companies in India to submit a Business Responsibility and Sustainability Report (BRSR). II. In India, a company submitting a BRSR makes disclosures in the report that are largely non-financial in nature.",I only,II only,Both I and II,Neither I nor II
35,"Consider the following statements: Statement I: In India, income from allied agricultural activities like poultry farming and wool rearing in rural areas is exempted from any tax. Statement II: In India, rural agricultural land is not considered a capital asset under the provisions of the Income-tax Act, 1961.",Both Statement I and Statement II are correct and Statement II explains Statement I,Both Statement I and Statement II are correct but Statement II does not explain Statement I,Statement I is correct but Statement II is not correct,Statement I is not correct but Statement II is correct
36,"Consider the following statements: 1. India has joined the Minerals Security Partnership as a member. II. India is a resource-rich country in all the 30 critical minerals that it has identified. III. The Parliament in 2023 has amended the Mines and Minerals (Development and Regulation) Act, 1957...",I and II only,II and III only,I and III only,"I, II and III"
37,"Consider the following statements: Statement I: As regards returns from an investment in a company, generally, bondholders are considered to be relatively at lower risk than stockholders. Statement II: Bondholders are lenders to a company whereas stockholders are its owners. Statement III: For repayment purpose, bondholders are prioritized over stockholders...",Both Statement II and Statement III are correct and both of them explain Statement I,Both Statement I and Statement II are correct and Statement I explains Statement II,Only one of the Statements II and III is correct and that explains Statement I,Neither Statement II nor Statement III is correct
38,Consider the following statements: 1. India accounts for a very large portion of all equity option contracts traded globally thus exhibiting a great boom. II. India's stock market has grown rapidly in the recent past even overtaking Hong Kong's... III. There is no regulatory body either to warn the small investors...,I and II only,II and III only,I and III only,"I, II and III"
39,Consider the following statements: Statement I: Circular economy reduces the emissions of greenhouse gases. Statement II: Circular economy reduces the use of raw materials as inputs. Statement III: Circular economy reduces wastage in the production process.,Both Statement II and Statement III are correct and both of them explain Statement I,Both Statement II and Statement III are correct but only one of them explains Statement I,Only one of the Statements II and III is correct and that explains Statement I,Neither Statement II nor Statement III is correct
40,Consider the following statements: 1. Capital receipts create a liability or cause a reduction in the assets of the Government. II. Borrowings and disinvestment are capital receipts. III. Interest received on loans creates a liability of the Government.,I and II only,II and III only,I and III only,"I, II and III"
41,Consider the following countries: I. Austria II. Bulgaria III. Croatia IV. Serbia V. Sweden VI. North Macedonia. How many of the above are members of the North Atlantic Treaty Organization?,Only three,Only four,Only five,All the six
42,Consider the following countries: 1. Bolivia II. Brazil III. Colombia IV. Ecuador V. Paraguay VI. Venezuela. Andes mountains pass through how many of the above countries?,Only two,Only three,Only four,Only five
43,Consider the following water bodies: 1. Lake Tanganyika II. Lake Tonlé Sap III. Patos Lagoon. Through how many of them does the equator pass?,Only one,Only two,All the three,None
44,"Consider the following statements about Government of India constituted the National Turmeric Board: 1. India is the largest producer and exporter of turmeric in the world. II. More than 30 varieties of turmeric are grown in India. III. Maharashtra, Telangana, Karnataka and Tamil Nadu are major turmeric producing States in India.",I and II only,II and III only,I and III only,"I, II and III"
45,Which of the following are the evidences of the phenomenon of continental drift? 1. The belt of ancient rocks from Brazil coast matches with those from Western Africa. II. The gold deposits of Ghana are derived from the Brazil plateau... III. The Gondwana system of sediments from India is known to have its counterparts...,I and III only,I and II only,"I, II and III",II and III only
46,Consider the following statements: Statement I: The amount of dust particles in the atmosphere is more in subtropical and temperate areas than in equatorial and polar regions. Statement II: Subtropical and temperate areas have less dry winds.,Both Statement I and Statement II are correct and Statement II explains Statement I,Both Statement I and Statement II are correct but Statement II does not explain Statement I,Statement I is correct but Statement II is not correct,Statement I is not correct but Statement II is correct
47,"Consider the following statements: Statement I: In January, in the Northern Hemisphere, the isotherms bend equatorward while crossing the landmasses, and poleward while crossing the oceans. Statement II: In January, the air over the oceans is warmer than that over the landmasses in the Northern Hemisphere.",Both Statement I and Statement II are correct and Statement II explains Statement I,Both Statement I and Statement II are correct but Statement II does not explain Statement I,Statement I is correct but Statement II is not correct,Statement I is not correct but Statement II is correct
48,"Consider the following statements: Statement I: In the context of effect of water on rocks, chalk is known as a very permeable rock whereas clay is known as quite an impermeable or least permeable rock. Statement II: Chalk is porous and hence can absorb water. Statement III: Clay is not at all porous.",Both Statement II and Statement III are correct and both of them explain Statement I,Both Statement II and Statement III are correct but only one of them explains Statement I,Only one of the Statements II and III is correct and that explains Statement I,Neither Statement II nor Statement III is correct
49,"Consider the following statements: 1. Without the atmosphere, temperature would be well below freezing point everywhere on the Earth's surface. II. Heat absorbed and trapped by the atmosphere maintains our planet's average temperature. III. Atmosphere's gases, like carbon dioxide, are particularly good at absorbing and trapping radiation.",I and III only,I and II only,"I, II and III",II and III only
50,"Consider the following statements about the Rashtriya Gokul Mission: 1. It is important for the upliftment of rural poor, as majority of low producing indigenous animals are with small and marginal farmers... II. It was initiated to promote indigenous cattle and buffalo rearing and conservation...",I only,II only,Both I and II,Neither I nor II
51,"Consider the following statements: 1. Panchayats at the intermediate level exist in all States. II. To be eligible to be a Member of a Panchayat at the intermediate level, a person should attain the age of thirty years. III. The Chief Minister of a State constitutes a commission to review the financial position...",I and II only,II and III only,I and III only,"I, II and III"
52,"Consider the following statements in respect of BIMSTEC: I. It is a regional organization consisting of seven member States till January 2025. II. It came into existence with the signing of the Dhaka Declaration, 1999. III. Bangladesh, India, Sri Lanka, Thailand and Nepal are founding member States... IV. In BIMSTEC, the subsector of 'tourism' is being led by India.",I and II,II and III,I and IV,I only
53,Who amongst the following are members of the Jury to select the recipient of 'Gandhi Peace Prize'? 1. The President of India II. The Prime Minister of India III. The Chief Justice of India IV. The Leader of Opposition in the Lok Sabha,II and IV only,"I, II and III","II, III and IV",I and III only
54,GPS-Aided Geo Augmented Navigation (GAGAN) uses a system of ground stations to provide necessary augmentation. Which of the following statements is/are correct in respect of GAGAN? I. It is designed to provide additional accuracy and integrity. II. It will allow more uniform and high quality air traffic management. III. It will provide benefits only in aviation...,"I, II and III",II and III only,I only,I and II only
55,"Consider the following statements regarding AI Action Summit held in Grand Palais, Paris in February 2025: I. Co-chaired with India, the event builds on the advances made at the Bletchley Park Summit... II. Along with other countries US and UK also signed the declaration on inclusive and sustainable AI.",I only,II only,Both I and II,Neither I nor II
56,Consider the following pairs: I. International Year of the Woman Farmer: 2026 II. International Year of Sustainable and Resilient Tourism: 2027 III. International Year of Peace and Trust: 2025 IV. International Year of Asteroid Awareness and Planetary Defence: 2029,Only one,Only two,Only three,All the four
57,Consider the following statements with regard to BRICS: I. 16th BRICS Summit was held under the Chairship of Russia in Kazan. II. Indonesia has become a full member of BRICS. III. The theme of the 16th BRICS Summit was Strengthening Multiculturalism for Just Global Development and Security.,I and II,II and III,I and III,I only
58,"Consider the following statements about Lokpal: I. The power of Lokpal applies to public servants of India, but not to the Indian public servants posted outside India. II. The Chairperson or a Member shall not be a Member of the Parliament... III. The Chairperson or a Member shall not be a person of less than forty-five years of age... IV. Lokpal cannot inquire into the allegations of corruption against a sitting Prime Minister...",III only,II and III,I and IV,None of the above statements is correct
59,"Consider the following statements in respect of the first Kho Kho World Cup: I. The event was held in Delhi, India. II. Indian men beat Nepal with a score of 78-40 in the final... III. Indian women beat Nepal with a score of 54-36 in the final...",I only,II and III only,I and III only,"I, II and III"
60,"Consider the following statements: I. In the finals of the 45th Chess Olympiad held in 2024, Gukesh Dommaraju became the world's youngest winner after defeating the Russian player Jan Nepomniachtchi. II. Abhimanyu Mishra, an American chess player, holds the record of becoming world's youngest ever Grandmaster.",I only,II only,Both I and II,Neither I nor II
61,"Consider the following statements: Statement I: Some rare earth elements are used in the manufacture of flat television, screens and computer monitors. Statement II: Some rare earth elements have phosphorescent properties.",Both Statement I and Statement II are correct and Statement II explains Statement I,Both Statement I and Statement II are correct but Statement II does not explain Statement I,Statement I is correct but Statement II is not correct,Statement I is not correct but Statement II is correct
62,Consider the following statements: 1. Indian Railways have prepared a National Rail Plan (NRP) to create a future ready railway system by 2028. II. 'Kavach' an Automatic Train Protection system developed in collaboration with Germany. III. 'Kavach' system consists of RFID tags fitted on track in station section.,I and II only,II and III only,I and III only,"I, II and III"
63,Consider the following space missions: 1. Axiom-4 II. SpaDeX III. Gaganyaan. How many of the space missions given above encourage and support micro-gravity research?,Only one,Only two,All the three,None
64,"With reference to India's defence, consider the following pairs: Aircraft type - Description: I. Dornier-228: Maritime patrol aircraft II. IL-76: Supersonic combat aircraft III. C-17 Globemaster III: Military transport aircraft",Only one,Only two,All the three,None
65,Artificial way of causing rainfall to reduce air pollution makes use of,silver iodide and potassium iodide,silver nitrate and potassium iodide,silver iodide and potassium nitrate,silver nitrate and potassium chloride
66,Consider the following statements with regard to pardoning power of the President of India: 1. The exercise of this power by the President can be subjected to limited judicial review. II. The President can exercise this power without the advice of the Central Government.,I only,II only,Both I and II,Neither I nor II
67,"Consider the following statements: 1. On the dissolution of the House of the People, the Speaker shall not vacate his/her office until immediately before the first meeting of the House of the People after the dissolution. II. According to the provisions of the Constitution of India, a Member of the House of the People on being elected as Speaker shall resign from his/her political party. III. The Speaker of the House of the People may be removed...",I and II only,II and III only,I and III only,"I, II and III"
68,"Consider the following statements: I. If any question arises as to whether a Member of the House of the People has become subject to disqualification under the 10th Schedule, the President's decision... shall be final. II. There is no mention of the word 'political party' in the Constitution of India.",I only,II only,Both I and II,Neither I nor II
69,"Consider the following statements: Statement I: In India, State Governments have no power for making rules for grant of concessions in respect of extraction of minor minerals... Statement II: In India, the Central Government has the power to notify minor minerals under the relevant law.",Both Statement I and Statement II are correct and Statement II explains Statement I,Both Statement I and Statement II are correct but Statement II does not explain Statement I,Statement I is correct but Statement II is not correct,Statement I is not correct but Statement II is correct
70,Which organization has enacted the Nature Restoration Law (NRL) to tackle climate change and biodiversity loss?,The European Union,The World Bank,The Organization for Economic Cooperation and Development,The Food and Agriculture Organization
71,"Suppose the revenue expenditure is Rs.80,000 crores and the revenue receipts of the Government are Rs.60,000 crores. The Government budget also shows borrowings of Rs.10,000 crores and interest payments of Rs.6,000 crores. Which of the following statements are correct? 1. Revenue deficit is Rs.20,000 crores. II. Fiscal deficit is Rs.10,000 crores. III. Primary deficit is Rs.4,000 crores.",I and II only,II and III only,I and III only,"I, II and III"
72,"India is one of the founding members of the International North-South Transport Corridor (INSTC), a multimodal transportation corridor, which will connect",India to Central Asia to Europe via Iran,India to Central Asia via China,India to South-East Asia through Bangladesh and Myanmar,India to Europe through Azerbaijan
73,"Consider the following statements: Statement I: Of the two major ethanol producers in the world, i.e., Brazil and the United States of America, the former produces more ethanol than the latter. Statement II: Unlike in the United States of America where corn is the principal feedstock for ethanol production, sugarcane is the principal feedstock for ethanol production in Brazil.",Both Statement I and Statement II are correct and Statement II explains Statement I,Both Statement I and Statement II are correct but Statement II does not explain Statement I,Statement I is correct but Statement II is not correct,Statement I is not correct but Statement II is correct
74,"The World Bank warned that India could become one of the first places where wet-bulb temperatures routinely exceed 35°C. Which of the following statements best reflect(s) the implication of the above-said report? 1. Peninsular India will most likely suffer from flooding, tropical cyclones and droughts. II. The survival of animals including humans will be affected...",I only,II only,Both I and II,Neither I nor II
75,"A country's fiscal deficit stands at Rs.50,000 crores. It is receiving Rs.10,000 crores through non-debt creating capital receipts. The country's interest liabilities are Rs.1,500 crores. What is the gross primary deficit?","Rs.48,500 crores","Rs.51,500 crores","Rs.58,500 crores",None of the above
76,"Which of the following statements with regard to recommendations of the 15th Finance Commission of India are correct? I. It has recommended grants of 4,800 crores from the year 2022-23 to the year 2025-26 for incentivizing States to enhance educational outcomes. II. 45% of the net proceeds of Union taxes are to be shared with States. III. 45,000 crores are to be kept as performance-based incentive... IV. It reintroduced tax effort criteria to reward fiscal performance.","I, II and III","I, II and IV","I, III and IV","II, III and IV"
77,Consider the following statements in respect of the International Bank for Reconstruction and Development (IBRD): 1. It provides loans and guarantees to middle income countries. II. It works single-handedly to help developing countries to reduce poverty. III. It was established to help Europe rebuild after the World War II.,I and II only,II and III only,I and III only,"I, II and III"
78,"Consider the following statements in respect of RTGS and NEFT: I. In RTGS, the settlement time is instantaneous while in case of NEFT, is takes some time to settle payments. II. In RTGS, the customer is charged for inward transactions while that is not the case for NEFT. III. Operating hours for RTGS are restricted on certain days while this is not true for NEFT.",I only,I and II,I and III,III only
79,Consider the following countries: I. United Arab Emirates II. France III. Germany IV. Singapore V. Bangladesh. How many countries amongst the above are there other than India where international merchant payments are accepted under UPI?,Only two,Only three,Only four,All the five
80,Consider the following statements about 'PM Surya Ghar Muft Bijli Yojana': I. It targets installation of one crore solar rooftop panels in the residential sector. II. The Ministry of New and Renewable Energy aims to impart training on installation... III. It aims to create more than three lakhs skilled manpower...,I and II only,I and III only,II and III only,"I, II and III"
81,"Which reference to the Indian polity, consider the following statements: 1. An Ordinance can amend any Central Act. II. An Ordinance can abridge a Fundamental Right. III. An Ordinance can come into effect from a back date.",I and II only,II and III only,I and III only,"I, II and III"
82,"Consider the following pairs: State - Description: 1. Arunachal Pradesh: The capital is named after a fort, and the State has two National Parks. II. Nagaland: The State came into existence on the basis of reorganisation of the states.",1 and 2 only,2 only,1 and 3 only,2 and 3 only
84,"Consider the following statements: 1. The Constitution of India explicitly mentions that in certain spheres the Governor of a State acts in his/her own discretion. II. The President of India can, of his/her own, reserve a bill passed by a State Legislature for his/her consideration without it being forwarded by the Governor of the State concerned.",I only,II only,Both I and II,Neither I nor II
85,Consider the following pairs: Provision in the Constitution of India - Stated under: 1. Separation of Judiciary from the Executive in the Public Services of the State: The Directive Principles of the State Policy. II. Valuing and preserving of the rich heritage of our composite culture: The Fundamental Duties. III. Prohibition of employment of children below the age of 14 years in factories: The Fundamental Rights.,Only one,Only two,All the three,None
86,"With reference to the Constitution of India, if an area in a State in declared as Scheduled Area under the Fifth Schedule: 1. the State Government loses its executive power in such areas... II. the Union Government can take over the total administration of such areas...",I only,II only,Both I and II,Neither I nor II
87,"With reference to India, consider the following pairs: Organization - Union Ministry: 1. The National Automative Board: Ministry of Commerce and Industry. II. The Coir Board : Ministry of Heavy Industries. III. The National Centre for Trade Information: Ministry of Micro, Small and Medium Enterprises.",Only one,Only two,All the three,None
88,"Consider the following subjects under the Constitution of India: 1. List I-Union List, in the Seventh Schedule. II. Extent of the executive power of a State. III. Conditions of the Governor's office. For a constitutional amendment with respect to which of the above, ratification by the Legislatures of not less than one-half of the States is required...?",I and II only,II and III only,I and III only,"I, II and III"
89,"With reference to the Indian polity, consider the following statements: 1. The Governor of a State is not answerable to any court for the exercise and performance of the powers and duties of his/her office. II. No criminal proceedings shall be instituted or continued against the Governor during his/her term of office. III. Members of a State Legislature are not liable to any proceedings in any court in respect of anything said within the House.",I and II only,II and III only,I and III only,"I, II and III"
90,"Consider the following activities: 1. Production of crude oil II. Refining, storage and distribution of petroleum III. Marketing and sale of petroleum products IV. Productions of natural gas. How many of the above activities are regulated by the Petroleum and Natural Gas Regulatory Board in our country?",Only one,Only two,Only three,All the four
91,"The Civil Disobedience Movement was started by Gandhi on 12th March, 1930 with his famous Dandi March. Together with 78 chosen followers, Gandhi walked nearly 375 Kms from Sabarmati Ashram to Dandi...",the Champaran Satyagraha,publicly violating Salt Law at Dandi,attending the Second Round Table Conference in London,the launch of the Quit India Movement
92,"The famous female figurine known as 'Dancing Girl', found at Mohenjo-daro, is made of",carnelian,clay,bronze,gold
93,"""Sedition has become my religion"" was the famous statement given by Gandhiji at the time of",The Poona Pact,The Gandhi-Irwin Agreement (Delhi Pact),Arrest of Congress leadership at the time of the Quit India Movement,"Promulgation of the Government of India Act, 1935"
95,Consider the following fruits: 1. Papaya II. Pineapple III. Guava. How many of the above were introduced in India by the Portuguese in the sixteenth and seventeenth centuries?,Only one,Only two,All the three,None
99,Consider the following pairs : Country - Resource-rich in: I. Botswana : Diamond II. Chile : Lithium III. Indonesia : Nickel. In how many of the above rows is the given information correctly matched?,Only one,Only two,All the three,None
100,Consider the following pairs : Region - Country: I. Mallorca : Italy II. Normandy : Spain III. Sardinia : France. In how many of the above rows is the given information correctly matched?,Only one,Only two,All the three,None
