Question_ID,Question,Best_Match_Score,Source_PDF,Page_Num,Extracted_Text
11,Consider the following statements: Statement I: Studies indicate that carbon dioxide emissions from cement industry account for more than 5% of global carbon emissions. Statement II: Silica-bearing clay is mixed with limestone while manufacturing cement. Statement III: Limestone is converted into lime during clinker production...,-0.2858199179172516,November 2024 Monthly Current Affairs Magazine.pdf,87,"2.0, which require its members to report their emissions, covers only 42% of global production. • Emissions in Steel Supply Chain: Production of metallurgical coal for steel production accounts for one-tenth of energy sector methane emissions and can be mitigated at a minimal cost. • Poor Response to Emissions: Through MARS, IMEO alerts countries of major emissions but only 1% of such alerts received any substantive response. Initiatives taken to reduce Methane Emissions • Global: Global Methane Pledge, Climate and Clean Air Coalition, Global Methane Alliance etc. • India: National Innovations in Climate Resilient Agriculture (NICRA) project, National Livestock Mission, Gobar-Dhan Scheme, New National Biogas and Organic Manure Programme etc. 5.9.6. WORLD ENERGY EMPLOYMENT REPORT, 2024 The"
12,"Consider the following statements: Statement I: At the 28th United Nations Climate Change Conference (COP28), India refrained from signing the 'Declaration on Climate and Health'. Statement II: The COP 28 Declaration on Climate and Health is a binding declaration... Statement III: If India's health sector is decarbonized...",2.205275535583496,June 2024 Monthly Current Affairs Magazine.pdf,27,"thereby hindering consistent and collective action. o Also, there are no permanent organization or staff to implement communiqués (an official statement or announcement). • G7 unity is undermined by discord between the countries: U.S. Refused to Join G7 Climate Change Declaration in G7 meet in Canada and at the end U.S. withdrew support for any communiqué. India and G7 Significance of India’s participation in G7 and as a Potential future member: • India's frequent invitations to G7 summit indicate its growing importance in global affairs. o E.g., India has been invited 11 times. • India's growing economic and military power make it a potential future member. o E.g., India will soon surpass Japan, becoming the world's fourthlargest economy. Relevance of G7 for India • India as a Voice of"
13,"Consider the following statements: Statement I: Scientific studies suggest that a shift is taking place in the Earth's rotation and axis. Statement II: Solar flares and associated coronal mass ejections bombarded the Earth's outermost atmosphere... Statement III: As the Earth's polar ice melts, the water tends to move towards the equator.",-5.576766014099121,February 2025 Monthly Current Affairs Magazine.pdf,80,"has accelerated reaching a peak of 31 miles annually by 2000s but rate of movement has slowed in last five years. • Positions of Earth’s Magnetic North and South Poles gradually change due to variations in Earth’s magnetic field over time. o Magnetic declination – the angle between magnetic North and Geographic North – at a given location also changes over time. • Sometimes, Magnetic Poles also undergo Pole Reversal i.e. swapping of magnetic north and south poles. o According to Paleomagnetic records, Earth’s magnetic poles have reversed 183 times in the last 83 million years. o Potential Implications: Errors in navigation systems, impact on migratory species, risks from solar storms to satellites and power grids etc."
14,Consider the following statements: Statement I: Article 6 of the Paris Agreement on climate change is frequently discussed in global discussions... Statement II: Article 6 of the Paris Agreement... sets out the principles of carbon markets. Statement III: Article 6 of the Paris Agreement... intends to promote inter-country non-market strategies...,3.6292941570281982,November 2024 Monthly Current Affairs Magazine.pdf,68,"5.2. CARBON TRADING AND MARKET Why in the News? Rules for carbon trading under Article 6 of the Paris Agreement were finalized after a decade of negotiations. About Article 6 of the Paris Agreement • It details a set of tools and mechanisms of carbon market, that allows countries to voluntarily cooperate to achieve their Nationally Determined Contribution (NDC). • It has 3 main mechanisms: 2 Market-based and 1 Non-market based. Mechanisms under Article 6 Market based approaches Non-Market based approach Article 6.2 Article 6.4 Article 6.8 • Decentralized approach that allows for bilateral cooperation between countries • Involves international trading of International Transferred Mitigation outcomes (ITMOs) (emissions reductions that result from mitigation actions) • Corresponding"
15,Which one of the following launched the 'Nature Solutions Finance Hub for Asia and the Pacific'?,-5.888854503631592,April 2024 Monthly Current Affairs Magazine.pdf,82,"adopting innovative strategies that not only minimize harm to the environment but also actively enhance it. • Tiger Bonds: The Asian Development Bank intend to explore innovative financing instruments such as a tiger bond to engage private sector investors and promote nature based solutions. • Tiger Conservation Coalition is an independent group of organisations that have worked extensively together under a common vision for tiger conservation. o Tiger Conservation Coalition brings together leading biologists and experts in wildlife crime, human-wildlife coexistence, etc with focus on achieving tiger conservation. o Members’ organization includes International Union for Conservation of Nature, United Nations Development Programme, Wildlife Conservation Society, World Wide Fund for Nature,"
16,"With reference to 'Direct Air Capture', an emerging technology, which of the following statements is/are correct? I. It can be used as a way of carbon sequestration. II. It can be a valuable approach for plastic production. III. In aviation, it can be a source of carbon...",-6.406878471374512,May 2024 Monthly Current Affairs Magazine.pdf,72,"or ocean reservoirs. o According to IPCC Sixth Assessment Report, CDR is necessary element to achieve net-zero CO2 and GHG emissions. • Other CDR technologies: o Afforestation/Reforestation and Soil Carbon Sequestration: Fixing atmospheric carbon in biomass and soils. o Enhanced Weathering: Mining of rocks containing minerals that naturally absorb CO2. o Ocean-based CDR: Ocean fertilisation (adding nutrients to upper layers), ocean alkalinity enhancement (transformation of CO2 as biocarbonate/carbonate), coastal blue carbon management etc. o Bioenergy with Carbon Capture and Storage (BECCS): Using biomass as energy for CDR and storing biogenic carbon geologically. • Challenges in CDR: Higher energy needs and costs, Air Pollution (through Mining), Significant land and water demand, ocean"
17,"Regarding Peacock tarantula (Gooty tarantula), consider the following statements: I. It is an omnivorous crustacean. II. Its natural habitat in India is only limited to some forest areas. III. In its natural habitat, it is an arboreal species.",-6.253790855407715,July 2024 Monthly Current Affairs Magazine.pdf,83,"Subcontinent. ✓ In India, their population is confined mostly to Rajasthan and Gujarat. Small population occur in Maharashtra, Karnataka and Andhra Pradesh. o Food Habit: Omnivorous bird, they feed on grass seeds, insects like grasshoppers and beetles, and sometimes even small rodents and reptiles. o Others ✓ GIB lacks frontal vision ✓ Breed mostly during the monsoon season when females lay a single egg on open ground. • Importance of GIBs: Considered as indicators of the health of grasslands or pulse of grassland ecosystem Steps taken for GIBs • Declaration of Protected areas: Key habitats designated as National Parks/sanctuaries for e.g., Desert National Park, (Rajasthan), Naliya Grassland (Lala Bustard Wildlife Sanctuary) • Species Recovery Programme: GIBs has been identified for"
18,"Consider the following statements: 1. Carbon dioxide (CO2) emissions in India are less than 0.5 t CO2/ capita. II. In terms of CO2 emissions from fuel combustion, India ranks second in Asia-Pacific region. III. Electricity and heat producers are the largest source of CO2 emissions in India.",-1.52996826171875,May 2024 Monthly Current Affairs Magazine.pdf,73,"for the first time. ○ Solar was the main supplier of electricity growth in 2023. ○ India saw the world's fourth-largest surge in solar generation in 2023 behind China, the US and Brazil. ○ India overtook Japan to become the third-largest solar power generator in 2023, providing 5.9% of global growth in solar. ○ India produced the second highest amount of electricity from coal. ✓ India’s per capita emissions from the power sector are the fourth lowest in the G20, despite high coal reliance. ○ India’s per capita emissions from the power sector are just over half the global average and even further below the average in Asia. • Challenges in power sector: ○ Drought conditions globally resulted in a record fall in hydropower generation. ○ India’s electricity generation is more carbonintensive"
19,Consider the following pairs: Plant - Description: I. Cassava: Woody shrub II. Ginger: Herb with pseudostem III. Malabar spinach: Herbaceous climber IV. Mint: Annual shrub V. Papaya: Woody shrub,-7.486619472503662,July 2024 Monthly Current Affairs Magazine.pdf,89,"of specimens of Appendix I and II - listed species will not affect their long-term survival in the wild. Rosewood • About: ‘Rosewood’ also called as “palisander” encompasses a wide range of tropical hardwoods in the Fabaceae (Leguminosae) family. Rosewood in Appendix II of CITES include: o Dalbergia latifolia (Malabar rosewood) and Dalbergia Sissoo (Shisham) are found in India and are listed as Vulnerable and Least Concern (respectively) on IUCN red list. o African rosewood, native to West African countries, is listed as endangered on IUCN red list. • Utility: Crafting furniture and musical instruments. • Role in Ecosystem: o Soil Improvement: Dalbergia species can improve degraded soil through fast decomposing leaf litter, rich in nitrogen, phosphorus, and carbon. o Nitrogen Fixation:"
20,"With reference to the planet Earth, consider the following statements: 1. Rain forests produce more oxygen than that produced by oceans. II. Marine phytoplankton and photo-synthetic bacteria produce about 50% of world's oxygen. III. Well-oxygenated surface water contains several folds higher oxygen than that in atmospheric air.",-2.890681266784668,August 2024 Monthly Current Affairs Magazine.pdf,90,"since 1960s. o More than 500 low-oxygen sites have been identified in coastal waters. • Other water bodies: Lakes and reservoirs have experienced oxygen losses of 5.5 and 18.6 % respectively since 1980. Reasons underscoring AD • Global Warming caused by GHG: Rise in temperatures decreases solubility of oxygen in water. o Also, warm surface layers in ocean prevent oxygen from mixing deeper into ocean (leading to low oxygen level in deep sea waters) • Eutrophication: Nutrient over enrichment from anthropogenic sources (e.g. agriculture) leads to algal blooms and increased consumption of oxygen. Impact on Ecosystems • Occurrences of dead zones and ocean hypoxia effect • Habitat compression (reducing quality and quantity of suitable habitat) for fisheries leads to reduced biomass, species"
21,Consider the following statements about Raja Ram Mohan Roy: I. He possessed great love and respect for the traditional philosophical systems of the East. II. He desired his countrymen to accept the rational and scientific approach and the principle of human dignity and social equality...,-5.316409587860107,October 2024 Monthly Current Affairs Magazine.pdf,123,"as a curse, his compassion towards the people who were discriminated against made him fight for it. o He also championed the cause of women’s empowerment and called Woman as the embodiment of sacrifice and ahimsa • Respect for Humanity: Gandhi had compassion even towards the oppressor and never hated the British people. • Kindness: He was a committed vegetarian and discouraged the slaughter of animals on moral grounds. o He held that “If anybody said that I should die if I don’t take beef tea or mutton, even on medical advice, I would prefer death.” • Sarvodaya (Welfare for all): He saw God in every individual and held that one could reach god through the service of humanity. • Non-Violence: It was a tool to attain the ultimate end i.e., Truth. His concept of non-violence was a positive"
22,Consider the following subjects with regard to Non-Cooperation Programme: 1. Boycott of law-courts and foreign cloth II. Observance of strict non-violence III. Retention of titles and honours without using them in public IV. Establishment of Panchayats for settling disputes,-9.499204635620117,August 2024 Monthly Current Affairs Magazine.pdf,38,"and potential conflicts. o For example, Teesta Water Sharing Agreement was stalled due to resistance from West Bengal Government. • Bilateral relations: Indirect influence of state governments in foreign policy decisions has potential to affect India’s bilateral relations as well as its standing on international laws. o For example, India’s vote on UNHRC resolution against a friendly neighbour, Sri Lanka. • Security Concerns: Engaging in para-diplomacy might inadvertently affect national security especially in sensitive regions e.g. North East region, states bordering Pakistan or China. Way ahead • Institutional mechanism: Effective institutional mechanisms through the creation of consulates or consular offices in individual states or setting up of federal foreign affairs offices under"
23,The irrigation device called 'Araghatta' was:,-9.37007999420166,January 2025 Monthly Current Affairs Magazine.pdf,130,"drains were found for sewage disposal in major cities. • Small Bunds: Built by the local people to store rain water for irrigation and drinking in Lothal, Gujarat. • Dockyard: At Lothal, near Sabarmati River, is a remarkably lined structure with evidence of channels for inlet and outlet of water. • Channels and Reservoirs: At Dholavira, Gujarat, built completely of stone for storing fresh water brought by the rains or to store water diverted from the nearby rivulets. o They were an example of advanced hydraulic engineering for conservation, harvesting and storage of water. • Tanks and Wells: At Mohenjodaro, where rainwater harvested in tanks was brought to the wells of each house through efficient drainage system. o The “Great Bath” at Mohenjodaro was a large tank made of brick floor,"
24,"Who among the following rulers in ancient India had assumed the titles 'Mattavilasa', 'Vichitrachitta' and 'Gunabhara'?",-6.999053478240967,March 2025 Monthly Current Affairs Magazine (1).pdf,104,"102 ©Vision IAS 8.1.2. GUPTA TEMPLES • Gupta Empire (c. 320–550 CE) is often hailed as “Golden Age” of classical India as it marked a transformative era in temple architecture. • Structure combines elements of the Nagara (North Indian) and Dravida (South Indian) architectural styles. • Temples transitioned from modest, flat-roofed shrines to structured complexes featuring garbhagrihas (sanctums), mandapas (pillared halls), mukhmandapa, and towering śikharas (spires). • Royal patronage for temples dedicated to Vishnu, Shiva, and Shakti was prevalent from Gupta rulers like Chandragupta I, Samudragupta, and Chandragupta II. • Key Features of Gupta Temples o Early stage in development of temple architecture: Exhibiting architectural features influenced by both Buddhist and Hindu traditions. o"
25,"Fa-hien (Faxian), the Chinese pilgrim, travelled to India during the reign of:",1.8970273733139038,January 2025 Monthly Current Affairs Magazine.pdf,132,"and the mythical invisible Sarasvati. • Other key Facts: o It has been listed as an Intangible Cultural Heritage under UNESCO in 2017. o Chinese traveller Hiuen Tsang (visited India in the 7th century during the reign of King Harshavardhana) was the first to mention Kumbh Mela in his diary. o Saint Shankaracharya gave Kumbh Mela its final shape in 9th century. 8.3.9. BHARAT RANBHOOMI DARSHAN Ministry of Defence launches Bharat Ranbhoomi Darshan website and app as part of its 'Battlefield Tourism' plan. • It will be a one-stop destination for information and clearances for battlefield visits, featuring virtual tours and historical narratives. • Indian Army, in conjunction with Ministry of Tourism, has shortlisted some other border sites that have witnessed military action in the past o"
26,"Who among the following led a successful military campaign against the kingdom of Srivijaya, the powerful maritime State, which ruled the Malay Peninsula, Sumatra, Java and the neighbouring islands?",-3.3602800369262695,September 2024 Monthly Current Affairs Magazine.pdf,136,"133 ©Vision IAS • Purpose of renaming: The decision has been taken to free the nation from colonial imprints o While the name ‘Port Blair” has a colonial legacy, Sri Vijaya Puram symbolises the victory achieved in India’s freedom struggle and the A&N Islands’ unique role in it. Sri Vijay Puram and its cultural importance • Srivijaya was the ancient name of an empire that had its base in Sumatra, with influence across South East Asia. • It was also instrumental in the expansion of Buddhism. • The empire was supposed to have declined around the 11 century AD after a series of naval raids by the Cholas on its ports. o Chola invasion of Srivijaya was a unique event in the history of India and “its otherwise peaceful relations with the states of Southeast Asia which had come under India’s"
27,"With reference to ancient India (600-322 BC), consider the following pairs: Territorial Region - River flowing in the region: I. Asmaka: Godavari II. Kamboja: Vipas III. Avanti: Mahanadi IV. Kosala: Sarayu",-6.478014945983887,September 2024 Monthly Current Affairs Magazine.pdf,133,"India, Pakistan, and Afghanistan. Most of the sites are found located between Indus and Saraswati River basins. • Extent of Civilization: Daimabad in Maharashtra (Southernmost), Alamgirpur in UP (Easternmost), Sutgakendor in Pakistan (Westernmost), and Manda in Jammu (Northernmost). • Time-Period: It flourished from 6000 BCE to 1300 BCE. The archaeological findings reveal the gradual development of the Harappan culture. o Early Harappan (6000 BCE-2600 BCE) is a formative phase of the civilisation. o Mature Harappan (2600 BCE-1900 BCE), the urban phase of the civilization, represents its most prosperous period. o This decadent phase (1900 BCE-1300 BCE) is termed as Late Harappan."
28,"The first Gandharva Mahavidyalaya, a music training school, was set up in 1901 by Vishnu Digambar Paluskar in:",-8.1028470993042,June 2024 Monthly Current Affairs Magazine.pdf,117,"• Atisha Dipankara (known for reviving Buddhism in Tibet) and Vasubandhu was a famous alumnus of Vikramshila. Odantipuri • Located in Bihar. • Second oldest university in India. Odantapuri was established in the 8th century by the Pala ruler Gopal I. Many Tibetan scholars studied here. Nagarjunakonda • Now located in Andhra Pradesh. • Named after Nagarjuna, profounder of the doctrine of Sunyavada, who belonged to Mahayana Buddhism. Others • Valabhi (Gujarat) • Jagaddala (now in Bangladesh) 8.3. NEWS IN SHORTS 8.3.1. SHREE JAGANNATH TEMPLE Odisha has opened all four doors Shree Jagannath Temple for devotees. About Shree Jagannath Temple • Located in Puri, Odisha, and also called as White Pagoda. • Dedicated to Lord Jagannath (incarnation of Lord Vishnu), sister Devi Subhadra and elder"
29,"Ashokan inscriptions suggest that the 'Pradeshika', 'Rajuka' and 'Yukta' were important officers at the:",0.9243053197860718,March 2025 Monthly Current Affairs Magazine (1).pdf,103,"Jauguda (Odisha), Sopara (Maharashtra), Kalsi (Uttarakhand), Erragudhi (Andhra Pradesh), Sannathi (Karnataka), Shishupalgarh (Odisha); Mansehra and Shahbazgarhi (Pakistan); Kandahar (Afghanistan) (earliest known Ashokan inscription) • Minor Rock Edicts: Sasaram and Ratanpurwa (Bihar), Panguraria, Rupnath and Gujjara (Madhya Pradesh), Bairat (Rajasthan), Brahmagiri, Siddapura, JatingaRameshwara, Maski, Gavimath, Pavigunda, Udaegolam, Nittur (Karnataka); Rajula Mandagiri and Erragudi (Andhra Pradesh), Bahapur (Delhi), Ahraura (Uttar Pradesh) • Pillar Edicts: Allahabad -Kosam (Queens edict- Uttar Pradesh), Lauriya-Araraj, LauriyaNandangarh and Rampurva (Bihar); Delhi-Meerut, Delhi-Topra, Sanchi (Madhya Pradesh). • Others: Sarnath Schism edicts (Uttar Pradesh), Barabar cave inscription"
30,Consider the following statements in respect of the Non-Cooperation Movement: 1. The Congress declared the attainment of 'Swaraj' by all legitimate and peaceful means to be its objective. II. It was to be implemented in stages with civil disobedience and non-payment of taxes...,-8.106365203857422,January 2025 Monthly Current Affairs Magazine.pdf,9,"• SOPs for ‘Cooperation among Cooperatives’: Enhances financial inclusion by facilitating bank accounts for cooperative society members. Strengthening the Cooperative Movement in India • Structural Reforms o Merge Weak Societies: Combine inefficient cooperatives with stronger ones to pool resources and improve efficiency. o Promote Multipurpose Societies: These societies can address multiple needs of members, ensuring balanced and integrated development."
31,"With reference to investments, consider the following: 1. Bonds II. Hedge Funds III. Stocks IV. Venture Capital. How many of the above are treated as Alternative Investment Funds?",-1.1462321281433105,July 2024 Monthly Current Affairs Magazine.pdf,43,"it applied only to local investors but the Budget 2023-24 widened its ambit to include foreign investments (with some exceptions). Key Sources of Funding for Start-ups • Venture Capital/ Private Equity/ Angel Funds invest in young and fledging startups. o Venture capital Fund (including Angel Fund) is considered as Alternative Investment Funds (AIFs). o AIFs pool private funds for investment in startups and other companies. They have been categorised into three classes: ✓ Category I: Includes Venture capital funds (Including Angel Funds), Social Venture Funds, Infrastructure funds etc. ✓ Category II: Includes funds which does not fall in category I and category III and does not undertake leverage. This includes debt funds, etc. ✓ Category III: Employ diverse or complex trading strategies"
32,Which of the following are the sources of income for the Reserve Bank of India? 1. Buying and selling Government bonds II. Buying and selling foreign currency III. Pension fund IV. Lending to private companies V. Printing and distributing currency notes,-2.8486552238464355,October 2024 Monthly Current Affairs Magazine.pdf,52,"investment, output, capital stock, etc. 3.9.7. INDIA FOREX RESERVE CROSS 700 BILLION DOLLAR India is now the fourth country in the world to have over $700 billion in foreign reserves, following China, Japan, and Switzerland. • India's reserves can cover 11.9 months of imports, well above the general norm of six-months. About Forex (Foreign Exchange) Reserve- • It comprises of different assets that are held by a central bank. o In India, the RBI Act of 1934 contains the enabling provisions for the Reserve Bank of India (RBI) to act as the custodian of forex reserve, and manage reserves within the defined objectives. • Components of Reserve (in descending order as per their value)- o Foreign Currency Assets (FCA): It is valued in currencies other than the country's own o Gold reserves o"
33,"With reference to the Government of India, consider the following information: Organization - Functions - Works under: I. Directorate of Enforcement... II. Directorate of Revenue Intelligence... III. Directorate General of Systems and Data Management...",-2.4830899238586426,April 2025 Monthly Current Affairs Magazine (1).pdf,64,"61 ©Vision IAS 4.4.2. I4C Recently, Department of Revenue under the Union Ministry of Finance issued notification to include Indian Cyber Crime Coordination Centre (I4C) under the Section 66 of the Prevention of Money Laundering Act (PMLA), 2002. • This would help I4C to share and receive information from the Enforcement Directorate and other law enforcement agencies, so as to strengthen the country’s fight against cyber-enabled financial crimes. Section 66(Disclosure of information) of PMLA Act, 2002 • Enables the Director (Directorate of Enforcement) or any other authority specified by him to share the information with the concerned agency for necessary action. • Sharing of information shall be on the basis of information or material in his possession, that the provisions of any other"
34,"Consider the following statements: 1. The Reserve Bank of India mandates all the listed companies in India to submit a Business Responsibility and Sustainability Report (BRSR). II. In India, a company submitting a BRSR makes disclosures in the report that are largely non-financial in nature.",-2.102949619293213,October 2024 Monthly Current Affairs Magazine.pdf,50,"47 ©Vision IAS What’s the need for Responsible Capitalism? • Addressing global challenges: It can help companies and governments respond to challenges like sustainability, inequality, and exclusion. • Long-term business sustainability: Purely profit-driven models may not be viable in long-term; responsible capitalism can also help in better adaptation to tech-disruptions like AI, etc. • Ethical Governance and Stakeholder Capitalism: Promotes fairness in decision-making, ensuring stakeholders are treated justly and business operations comply with legal and moral standards. Measures taken to promote Responsible Capitalism in India • Corporate Social Responsibility (CSR): Mandated under section 135 of Companies Act, 2013. • Environmental regulations: Plastic Waste Management Rules, stricter"
